"especie_original";"raca_original";"quantidade"
"Cachorro";"Shih-tzu";"120"
"Cachorro";"SRD - Sem Raça Definida";"86"
"Cachorro";"Yorkshire Terrier";"25"
"";"";"22"
"Cachorro";"Lhasa Apso";"9"
"Cachorro";"Spitz Alemão";"9"
"Gato";"SRD - Sem Raça Definida";"9"
"";"SRD / Srd";"8"
"Cachorro";"Poodle Mini";"8"
"Cachorro";"Border Collie";"6"
"Cachorro";"Poodle Médio";"6"
"Cachorro";"";"5"
"Cachorro";"Chow Chow";"5"
"Cachorro";"Maltês";"5"
"Cachorro";"Pug";"5"
"Cachorro";"Husky Siberiano";"4"
"";"shih-tzu / Shih Tzu / Shih-tzu";"3"
"Cachorro";"Golden Retriever";"3"
"Cachorro";"Pastor Alemão";"3"
"Cachorro";"Retriever Do Labrador";"3"
"";"Shihtzu";"2"
"Cachorro";"American Bully";"2"
"Cachorro";"Buldogue Francês";"2"
"Cachorro";"Chihuahua";"2"
"Cachorro";"Lulu da Pomerânia";"2"
"Cachorro";"Pequinês";"2"
"Cachorro";"Pinscher Miniatura";"2"
"Cachorro";"Pit Bull";"2"
"Cachorro";"srd";"2"
"";"Gato";"1"
"";"pastor de mallinoais";"1"
"";"Shitzu com Yorshire";"1"
"";"Shitzu";"1"
"";"Spitz Alemão";"1"
"";"Vira-lata";"1"
"Cachorro";"Afghan Hound";"1"
"Cachorro";"Basset Artesiano Normando";"1"
"Cachorro";"Beagle";"1"
"Cachorro";"Bulldog Francês";"1"
"Cachorro";"Bulldog Inglês";"1"
"Cachorro";"Cocker Spaniel Inglês";"1"
"Cachorro";"Jack Russel Terrier";"1"
"Cachorro";"Pastor Belga";"1"
"Cachorro";"Pastor Branco Suiço";"1"
"Cachorro";"Samoiedo";"1"
"Cachorro";"Schnauzer Standard";"1"
"Cão";"Bulldog Francês";"1"
"Cão";"Shih Tzu";"1"
"Gato";"Siamês";"1"
"Gato";"Snowshoe";"1"
