"valor_original";"especie_original";"canonico_sugerido";"confianca";"acao";"quantidade";"observacao"
"Jack Russel Terrier";"Cachorro";"Jack Russel Terrier";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Shih-tzu";"Cachorro";"Shih Tzu";"alta, confirmar alias";"criar nova raça canônica";"120";"Proposta de catálogo, não aprovação nem associação automática."
"SRD - Sem Raça Definida";"Cachorro";"Sem raça definida (SRD)";"alta, confirmar alias";"usar SRD existente";"86";"Proposta de catálogo, não aprovação nem associação automática."
"Maltês";"Cachorro";"Maltês";"revisão obrigatória";"criar nova raça canônica";"5";"Proposta de catálogo, não aprovação nem associação automática."
"";"Cachorro";"";"revisão obrigatória";"requer revisão";"5";"Espécie ou raça ausente; não inferir espécie pela raça."
"Poodle Mini";"Cachorro";"Poodle Mini";"revisão obrigatória";"criar nova raça canônica";"8";"Proposta de catálogo, não aprovação nem associação automática."
"Pinscher Miniatura";"Cachorro";"Pinscher Miniatura";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Yorkshire Terrier";"Cachorro";"Yorkshire Terrier";"revisão obrigatória";"criar nova raça canônica";"25";"Proposta de catálogo, não aprovação nem associação automática."
"Poodle Médio";"Cachorro";"Poodle Médio";"revisão obrigatória";"criar nova raça canônica";"6";"Proposta de catálogo, não aprovação nem associação automática."
"Retriever Do Labrador";"Cachorro";"Retriever Do Labrador";"revisão obrigatória";"criar nova raça canônica";"3";"Proposta de catálogo, não aprovação nem associação automática."
"Lhasa Apso";"Cachorro";"Lhasa Apso";"revisão obrigatória";"criar nova raça canônica";"9";"Proposta de catálogo, não aprovação nem associação automática."
"Pastor Belga";"Cachorro";"Pastor Belga";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Cocker Spaniel Inglês";"Cachorro";"Cocker Spaniel Inglês";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Pastor Alemão";"Cachorro";"Pastor Alemão";"revisão obrigatória";"criar nova raça canônica";"3";"Proposta de catálogo, não aprovação nem associação automática."
"SRD - Sem Raça Definida";"Gato";"Sem raça definida (SRD)";"alta, confirmar alias";"usar SRD existente";"9";"Proposta de catálogo, não aprovação nem associação automática."
"Husky Siberiano";"Cachorro";"Husky Siberiano";"revisão obrigatória";"criar nova raça canônica";"4";"Proposta de catálogo, não aprovação nem associação automática."
"Lulu da Pomerânia";"Cachorro";"Lulu da Pomerânia";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Chihuahua";"Cachorro";"Chihuahua";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Spitz Alemão";"Cachorro";"Spitz Alemão";"revisão obrigatória";"criar nova raça canônica";"9";"Proposta de catálogo, não aprovação nem associação automática."
"Chow Chow";"Cachorro";"Chow Chow";"revisão obrigatória";"criar nova raça canônica";"5";"Proposta de catálogo, não aprovação nem associação automática."
"Pug";"Cachorro";"Pug";"revisão obrigatória";"criar nova raça canônica";"5";"Proposta de catálogo, não aprovação nem associação automática."
"Golden Retriever";"Cachorro";"Golden Retriever";"revisão obrigatória";"criar nova raça canônica";"3";"Proposta de catálogo, não aprovação nem associação automática."
"Border Collie";"Cachorro";"Border Collie";"revisão obrigatória";"criar nova raça canônica";"6";"Proposta de catálogo, não aprovação nem associação automática."
"Bulldog Francês";"Cachorro";"Buldogue Francês";"alta, confirmar alias";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Pequinês";"Cachorro";"Pequinês";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Pit Bull";"Cachorro";"Pit Bull";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Pastor Branco Suiço";"Cachorro";"Pastor Branco Suiço";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Basset Artesiano Normando";"Cachorro";"Basset Artesiano Normando";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"American Bully";"Cachorro";"American Bully";"revisão obrigatória";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"Schnauzer Standard";"Cachorro";"Schnauzer Standard";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Beagle";"Cachorro";"Beagle";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Afghan Hound";"Cachorro";"Afghan Hound";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Siamês";"Gato";"Siamês";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Bulldog Inglês";"Cachorro";"Bulldog Inglês";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Snowshoe";"Gato";"Snowshoe";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Samoiedo";"Cachorro";"Samoiedo";"revisão obrigatória";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Bulldog Francês";"Cão";"Buldogue Francês";"alta, confirmar alias";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Vira-lata";"";"Vira-lata";"revisão obrigatória";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Buldogue Francês";"Cachorro";"Buldogue Francês";"alta, confirmar alias";"criar nova raça canônica";"2";"Proposta de catálogo, não aprovação nem associação automática."
"pastor de mallinoais";"";"pastor de mallinoais";"revisão obrigatória";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"";"";"";"revisão obrigatória";"requer revisão";"22";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shitzu com Yorshire";"";"Shitzu com Yorshire";"revisão obrigatória";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"SRD";"";"SRD";"revisão obrigatória";"requer revisão";"3";"Espécie ou raça ausente; não inferir espécie pela raça."
"shih-tzu";"";"Shih Tzu";"alta, confirmar alias";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shih Tzu";"Cão";"Shih Tzu";"alta, confirmar alias";"criar nova raça canônica";"1";"Proposta de catálogo, não aprovação nem associação automática."
"Spitz Alemão";"";"Spitz Alemão";"revisão obrigatória";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Srd";"";"Srd";"revisão obrigatória";"requer revisão";"5";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shih Tzu";"";"Shih Tzu";"alta, confirmar alias";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shih-tzu";"";"Shih Tzu";"alta, confirmar alias";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shihtzu";"";"Shih Tzu";"alta, confirmar alias";"requer revisão";"2";"Espécie ou raça ausente; não inferir espécie pela raça."
"Shitzu";"";"Shih Tzu";"média, revisar grafia";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"Gato";"";"Gato";"revisão obrigatória";"requer revisão";"1";"Espécie ou raça ausente; não inferir espécie pela raça."
"srd";"Cachorro";"Sem raça definida (SRD)";"alta, confirmar alias";"usar SRD existente";"2";"Proposta de catálogo, não aprovação nem associação automática."
